t,x_1,x_2,x_3,x_4,x_5,x_6,fb,fa,Tr,dx_dt_1,dx_dt_2,dx_dt_3,dx_dt_4,dx_dt_5,dx_dt_6
630.0,0.16499672003882568,0.40345470322423826,0.032338951486987656,0.29979058074107884,0.1966347932731253,0.1371036310115809,6.091109369944852,2.4,352.8581520046871,-0.0002140671827122216,5.644606166199118e-05,-4.589023504009112e-05,-0.0001670451612384221,-0.000417634867551437,-0.0001571364438717898
660.0,0.15857470455745903,0.40514808507409794,0.030962244435784922,0.2947792259039262,0.1841057472465822,0.13238953769542722,6.091109369944852,2.4,353.5145571558432,-0.0001878623388735223,4.754106962596567e-05,-4.070222926858183e-05,-0.00014208870544665605,-0.00037453578978763574,-0.0001332661610662695
690.0,0.15293883439125336,0.4065743171628769,0.029741177557727465,0.29051656474052645,0.17286967355295313,0.12839155286343915,6.091109369944852,2.4,354.1324243821909,-0.000165283015121766,3.931725961218937e-05,-3.617311975767024e-05,-0.00012026741587547934,-0.0003350727466655523,-0.00011286900831477554
720.0,0.14798034393760037,0.4077538349512426,0.02865598396499736,0.2869085422642621,0.16281749115298655,0.12500548261399588,6.091109369944852,2.4,354.71251204839734,-0.00014577805993834004,3.184084017249185e-05,-3.22117757039701e-05,-0.00010127444148456804,-0.00029905089924842516,-9.547918617211108e-05
750.0,0.14360700213945018,0.4087090601564174,0.027689630693878253,0.28387030901972504,0.15384596417553378,0.12214110702883256,6.091109369944852,2.4,355.2557060622772,-0.0001288778961677857,2.5149736970904356e-05,-2.873746593447238e-05,-8.482926661751903e-05,-0.0002662715352369307,-8.069102133238709e-05
780.0,0.1397406652544166,0.40946355226554454,0.026827506715844083,0.28132543102119945,0.14585781811842588,0.11972037638886093,6.091109369944852,2.4,355.7628717503021,-0.00011418011081628456,1.9264557842328165e-05,-2.5677689486888273e-05,-7.068053313406745e-05,-0.00023653850120176838,-6.81527064698289e-05
810.0,0.13631526192992804,0.41004148900081433,0.026057176031237434,0.27920501502717743,0.13876166308237284,0.11767579519476606,6.091109369944852,2.4,356.2350405769402,-0.00010134933631665655,1.4173318329903644e-05,-2.2973285724307968e-05,-5.858379093215005e-05,-0.00020965278376523672,-5.755212357932194e-05
840.0,0.13327478184042835,0.41046668855071144,0.025367977459508195,0.277447501299213,0.13247207956941573,0.11594923148738641,6.091109369944852,2.4,356.67301671644265,-9.009316539547088e-05,9.867164415446265e-06,-2.056749642479733e-05,-4.833227683139311e-05,-0.00018542733001024748,-4.8623023078978987e-05
870.0,0.13057198687856422,0.41076270348317484,0.024750952566764274,0.27599753299427116,0.1269092596691083,0.11449054079501703,6.091109369944852,2.4,357.07810055799996,-8.018514533560716e-05,6.2815982117420946e-06,-1.8424907212413962e-05,-3.9691949994664494e-05,-0.00016366277523005354,-4.1116878893742544e-05
900.0,0.12816643251849602,0.4109511514295271,0.02419820535039185,0.27480677449443125,0.12199937641220669,0.11325703442820476,6.091109369944852,2.4,357.4509406545041,-7.140880922204341e-05,3.402074156807016e-06,-1.6496102928043414e-05,-3.250654406070712e-05,-0.00014418940772452994,-3.483812715282662e-05
930.0,0.1260241682418347,0.41105321365423125,0.02370332226255055,0.27383157817261,0.1176736941804708,0.11221189061361996,6.091109369944852,2.4,357.7933922492418,-6.363034283667939e-05,1.1035791681540147e-06,-1.4773826507951583e-05,-2.6527156849408365e-05,-0.000126801752690425,-2.95778666015681e-05
960.0,0.12411525795673432,0.4110863210292759,0.023260107467312,0.27303576346712777,0.11386964159975804,0.11132455461557292,6.091109369944852,2.4,358.10581393278005,-5.667599191406983e-05,-5.994361155289967e-07,-1.3201645241890682e-05,-2.1671406238909506e-05,-0.00011135809917689653,-2.5207712043510038e-05
990.0,0.12241497819931224,0.41106833794581,0.02286405811005528,0.27238562127996047,0.11052889862445114,0.11056832325426762,6.091109369944852,2.4,358.39090213050076,-5.0493003736686436e-05,-1.9023132403404445e-06,-1.1808954344330764e-05,-1.7650738344294018e-05,-9.763968879427803e-05,-2.1538145170606103e-05
